Date,Open,High,Low,Close
11/25/2020,"2,903.16","2,920.55","2,858.36","2,869.55"
11/24/2020,"2,866.12","2,891.63","2,864.42","2,891.63"
11/23/2020,"2,828.32","2,852.27","2,825.83","2,848.78"
11/20/2020,"2,780.77","2,814.13","2,779.21","2,813.01"
11/19/2020,"2,782.22","2,795.06","2,766.55","2,777.00"
11/18/2020,"2,774.78","2,795.67","2,774.78","2,788.59"
11/17/2020,"2,764.13","2,781.58","2,764.13","2,778.55"
11/16/2020,"2,731.56","2,753.44","2,724.93","2,748.00"
11/13/2020,"2,700.72","2,715.92","2,685.81","2,711.39"
11/12/2020,"2,710.71","2,725.47","2,695.89","2,711.90"
11/11/2020,"2,698.69","2,713.28","2,673.89","2,713.28"
11/10/2020,"2,672.98","2,705.00","2,662.32","2,705.00"
11/09/2020,"2,600.96","2,622.98","2,600.67","2,609.36"
11/06/2020,"2,591.96","2,591.96","2,562.86","2,578.68"
11/05/2020,"2,543.91","2,588.62","2,541.76","2,588.62"
11/04/2020,"2,502.18","2,521.14","2,489.72","2,515.98"
11/03/2020,"2,453.29","2,497.22","2,453.26","2,497.22"
11/02/2020,"2,428.98","2,449.02","2,423.70","2,443.13"
10/30/2020,"2,423.84","2,447.85","2,420.84","2,423.84"
10/29/2020,"2,450.68","2,472.92","2,450.68","2,450.68"
10/28/2020,"2,483.48","2,507.89","2,483.48","2,483.48"
10/27/2020,"2,515.33","2,519.00","2,503.37","2,512.87"
10/26/2020,"2,540.86","2,541.74","2,521.19","2,523.31"
10/23/2020,"2,537.05","2,537.39","2,537.39","2,537.39"
10/22/2020,"2,518.75","2,530.76","2,513.52","2,528.41"
10/21/2020,"2,525.61","2,545.52","2,521.70","2,525.61"
10/20/2020,"2,542.08","2,542.39","2,523.21","2,528.64"
10/19/2020,"2,540.55","2,549.52","2,537.31","2,543.57"
10/16/2020,"2,530.38","2,533.02","2,533.02","2,533.02"
10/15/2020,"2,543.34","2,523.62","2,523.62","2,523.62"
10/14/2020,"2,562.44","2,555.59","2,555.59","2,555.59"
10/13/2020,"2,556.40","2,570.19","2,547.12","2,567.65"
10/12/2020,"2,552.42","2,555.93","2,534.37","2,552.42"
10/09/2020,"2,547.94","2,547.97","2,532.41","2,532.96"
10/08/2020,"2,545.42","2,543.11","2,543.11","2,543.11"
10/07/2020,"2,523.19","2,538.36","2,538.36","2,538.36"
10/06/2020,"2,525.70","2,540.71","2,525.69","2,529.26"
10/05/2020,"2,512.91","2,522.40","2,504.89","2,517.23"
10/02/2020,"2,500.34","2,496.11","2,496.11","2,496.11"
10/01/2020,"2,479.29","2,504.12","2,477.09","2,500.74"
09/30/2020,"2,466.62","2,489.17","2,465.45","2,466.62"
09/29/2020,"2,496.77","2,471.61","2,471.61","2,471.61"
09/28/2020,"2,483.01","2,494.16","2,471.07","2,483.01"
09/25/2020,"2,458.38","2,474.12","2,457.26","2,472.28"
09/24/2020,"2,467.15","2,450.82","2,450.82","2,450.82"
09/23/2020,"2,463.95","2,481.14","2,481.14","2,481.14"
09/22/2020,"2,463.29","2,481.77","2,455.33","2,463.29"
09/21/2020,"2,499.39","2,515.05","2,481.66","2,485.71"
09/18/2020,"2,497.71","2,506.92","2,492.76","2,497.71"
09/17/2020,"2,503.54","2,500.78","2,500.78","2,500.78"
09/16/2020,"2,505.15","2,508.16","2,488.09","2,505.15"
09/15/2020,"2,486.70","2,502.10","2,482.91","2,485.83"
09/14/2020,"2,489.68","2,482.55","2,482.55","2,482.55"
09/11/2020,"2,490.09","2,492.42","2,476.82","2,490.09"
09/10/2020,"2,507.64","2,492.09","2,492.09","2,492.09"
09/09/2020,"2,499.33","2,505.41","2,478.11","2,499.33"
09/08/2020,"2,515.26","2,504.76","2,504.76","2,504.76"
09/07/2020,"2,506.18","2,511.21","2,511.21","2,511.21"
09/04/2020,"2,494.42","2,509.64","2,509.64","2,509.64"
09/03/2020,"2,546.01","2,546.87","2,519.13","2,531.79"
09/02/2020,"2,540.65","2,539.94","2,539.94","2,539.94"
09/01/2020,"2,521.81","2,544.00","2,508.68","2,538.55"
08/31/2020,"2,557.44","2,560.43","2,523.34","2,532.51"
08/28/2020,"2,547.71","2,573.49","2,532.41","2,539.63"
08/27/2020,"2,539.98","2,545.79","2,517.07","2,519.81"
08/26/2020,"2,548.28","2,548.57","2,528.94","2,542.08"
